hearing_officer,method,hearings,liable,not_liable,liable_pct
"Alfred Quijano",In-Person,4160,1374,2425,33.03
"Alfred Quijano",Mail,26191,11813,14378,45.1
"Alfred Quijano",Other,160,31,128,19.38
"Alfred Quijano",Virtual,929,323,606,34.77
"Anika Matthews-Feldman",Mail,223,109,114,48.88
"Barbara J. Bell",In-Person,3237,859,2258,26.54
"Barbara J. Bell",Mail,6941,3076,3865,44.32
"Barbara J. Bell",Other,153,27,126,17.65
"Bernadette Freeman",In-Person,10038,3446,6483,34.33
"Bernadette Freeman",Mail,9246,3366,5880,36.4
"Bernadette Freeman",Other,482,119,363,24.69
"Bernadette Freeman",Virtual,496,134,362,27.02
"Boye Akinwande",In-Person,58,24,32,41.38
"Boye Akinwande",Mail,934,451,483,48.29
"Casandra Watson",Mail,553,178,375,32.19
"Daniel Ruiz",In-Person,3733,1664,1685,44.58
"Daniel Ruiz",Mail,4300,2453,1847,57.05
"Daniel Ruiz",Other,165,57,108,34.55
"Daniel Ruiz",Virtual,180,89,91,49.44
"David Badillo",In-Person,8006,3718,3806,46.44
"David Badillo",Mail,18992,11065,7927,58.26
"David Badillo",Other,440,111,329,25.23
"David Badillo",Virtual,648,313,335,48.3
"Denis E. Guest",In-Person,5536,2486,2614,44.91
"Denis E. Guest",Mail,15775,8461,7314,53.64
"Denis E. Guest",Other,243,80,163,32.92
"Denis E. Guest",Virtual,987,356,631,36.07
"Donna Rizzuto",In-Person,2965,1512,1079,50.99
"Donna Rizzuto",Mail,4559,2817,1742,61.79
"Donna Rizzuto",Other,232,123,109,53.02
"Dyahanne Ware",In-Person,5812,2437,2895,41.93
"Dyahanne Ware",Mail,14036,7502,6534,53.45
"Dyahanne Ware",Other,326,96,229,29.45
"Eileen McHugh",In-Person,15547,5612,8854,36.1
"Eileen McHugh",Mail,29069,12758,16311,43.89
"Eileen McHugh",Other,871,271,598,31.11
"Eileen McHugh",Virtual,9285,3197,6088,34.43
"Eli R. Johnson",In-Person,3464,1128,2169,32.56
"Eli R. Johnson",Mail,4840,1841,2999,38.04
"Eli R. Johnson",Other,207,29,178,14.01
"Eli R. Johnson",Virtual,386,128,258,33.16
"Elreta C. Dickinson",In-Person,12573,4199,7228,33.4
"Elreta C. Dickinson",Mail,22727,9584,13143,42.17
"Elreta C. Dickinson",Other,514,120,394,23.35
"Elreta C. Dickinson",Virtual,399,121,278,30.33
"Evelyn Ginger Mance",In-Person,7579,2680,3909,35.36
"Evelyn Ginger Mance",Mail,11093,4857,6236,43.78
"Evelyn Ginger Mance",Other,558,238,320,42.65
"Evelyn Ginger Mance",Virtual,887,368,519,41.49
"Ewa B. Price",In-Person,1855,999,659,53.85
"Ewa B. Price",Mail,1837,1130,707,61.51
"Ewa B. Price",Other,89,23,64,25.84
"Gia L. Morris",In-Person,10815,4141,5872,38.29
"Gia L. Morris",Mail,37438,18582,18856,49.63
"Gia L. Morris",Other,775,216,559,27.87
"Gia L. Morris",Virtual,1946,907,1039,46.61
"Gregory G. Plesha",In-Person,1820,696,866,38.24
"Gregory G. Plesha",Mail,4473,2364,2109,52.85
"Gregory G. Plesha",Other,88,24,64,27.27
"Harriet J. Parker",In-Person,1073,604,349,56.29
"Harriet J. Parker",Mail,4385,3105,1280,70.81
"Heather Neaveill",In-Person,791,306,401,38.69
"Heather Neaveill",Mail,2059,1163,896,56.48
