ISSUED YEAR,VIOLATION CODE,VIOLATION DESCRIPTION,WARD,FINE LEVEL 1 AMOUNT,NUMBER ISSUED
2020,0964040B,STREET CLEANING,1,"$725,700.00","12,095"
2020,0964040B,STREET CLEANING,2,"$427,500.00","7,125"
2020,0964040B,STREET CLEANING,3,"$383,580.00","6,393"
2020,0964040B,STREET CLEANING,4,"$351,660.00","5,861"
2020,0964040B,STREET CLEANING,5,"$521,880.00","8,698"
2020,0964040B,STREET CLEANING,6,"$254,400.00","4,240"
2020,0964040B,STREET CLEANING,7,"$229,440.00","3,824"
2020,0964040B,STREET CLEANING,8,"$205,200.00","3,420"
2020,0964040B,STREET CLEANING,9,"$174,300.00","2,905"
2020,0964040B,STREET CLEANING,10,"$99,660.00","1,661"
2020,0964040B,STREET CLEANING,11,"$327,840.00","5,464"
2020,0964040B,STREET CLEANING,12,"$168,180.00","2,803"
2020,0964040B,STREET CLEANING,13,"$120,060.00","2,001"
2020,0964040B,STREET CLEANING,14,"$166,020.00","2,767"
2020,0964040B,STREET CLEANING,15,"$250,560.00","4,176"
2020,0964040B,STREET CLEANING,16,"$179,820.00","2,997"
2020,0964040B,STREET CLEANING,17,"$232,740.00","3,879"
2020,0964040B,STREET CLEANING,18,"$139,140.00","2,319"
2020,0964040B,STREET CLEANING,19,"$95,700.00","1,595"
2020,0964040B,STREET CLEANING,20,"$322,500.00","5,375"
2020,0964040B,STREET CLEANING,21,"$181,320.00","3,022"
2020,0964040B,STREET CLEANING,22,"$201,960.00","3,366"
2020,0964040B,STREET CLEANING,23,"$160,200.00","2,670"
2020,0964040B,STREET CLEANING,24,"$325,080.00","5,418"
2020,0964040B,STREET CLEANING,25,"$354,540.00","5,909"
2020,0964040B,STREET CLEANING,26,"$496,380.00","8,273"
2020,0964040B,STREET CLEANING,27,"$359,880.00","5,998"
2020,0964040B,STREET CLEANING,28,"$227,700.00","3,795"
2020,0964040B,STREET CLEANING,29,"$288,420.00","4,807"
2020,0964040B,STREET CLEANING,30,"$307,080.00","5,118"
2020,0964040B,STREET CLEANING,31,"$304,260.00","5,071"
2020,0964040B,STREET CLEANING,32,"$330,060.00","5,501"
2020,0964040B,STREET CLEANING,33,"$322,080.00","5,368"
2020,0964040B,STREET CLEANING,34,"$133,320.00","2,222"
2020,0964040B,STREET CLEANING,35,"$388,020.00","6,467"
2020,0964040B,STREET CLEANING,36,"$245,940.00","4,099"
2020,0964040B,STREET CLEANING,37,"$257,820.00","4,297"
2020,0964040B,STREET CLEANING,38,"$139,560.00","2,326"
2020,0964040B,STREET CLEANING,39,"$203,160.00","3,386"
2020,0964040B,STREET CLEANING,40,"$192,240.00","3,204"
2020,0964040B,STREET CLEANING,41,"$70,380.00","1,173"
2020,0964040B,STREET CLEANING,42,"$116,820.00","1,947"
2020,0964040B,STREET CLEANING,43,"$343,140.00","5,719"
2020,0964040B,STREET CLEANING,44,"$365,940.00","6,099"
2020,0964040B,STREET CLEANING,45,"$108,240.00","1,804"
2020,0964040B,STREET CLEANING,46,"$288,360.00","4,806"
2020,0964040B,STREET CLEANING,47,"$303,840.00","5,064"
2020,0964040B,STREET CLEANING,48,"$243,120.00","4,052"
2020,0964040B,STREET CLEANING,49,"$269,160.00","4,486"
2020,0964040B,STREET CLEANING,50,"$235,980.00","3,933"
2020,0964040B,STREET CLEANING,,"$27,960.00",466
2021,0964040B,STREET CLEANING,1,"$918,840.00","15,314"
2021,0964040B,STREET CLEANING,2,"$569,700.00","9,495"
2021,0964040B,STREET CLEANING,3,"$493,080.00","8,218"
2021,0964040B,STREET CLEANING,4,"$500,880.00","8,348"
2021,0964040B,STREET CLEANING,5,"$773,220.00","12,887"
2021,0964040B,STREET CLEANING,6,"$368,700.00","6,145"
2021,0964040B,STREET CLEANING,7,"$372,840.00","6,214"
2021,0964040B,STREET CLEANING,8,"$348,360.00","5,806"
2021,0964040B,STREET CLEANING,9,"$232,080.00","3,868"
2021,0964040B,STREET CLEANING,10,"$189,480.00","3,158"
2021,0964040B,STREET CLEANING,11,"$375,180.00","6,253"
2021,0964040B,STREET CLEANING,12,"$301,020.00","5,017"
2021,0964040B,STREET CLEANING,13,"$176,160.00","2,936"
2021,0964040B,STREET CLEANING,14,"$268,200.00","4,470"
2021,0964040B,STREET CLEANING,15,"$342,240.00","5,704"
2021,0964040B,STREET CLEANING,16,"$378,780.00","6,313"
2021,0964040B,STREET CLEANING,17,"$313,620.00","5,227"
2021,0964040B,STREET CLEANING,18,"$210,960.00","3,516"
2021,0964040B,STREET CLEANING,19,"$116,040.00","1,934"
2021,0964040B,STREET CLEANING,20,"$400,500.00","6,675"
2021,0964040B,STREET CLEANING,21,"$237,060.00","3,951"
2021,0964040B,STREET CLEANING,22,"$347,820.00","5,797"
2021,0964040B,STREET CLEANING,23,"$242,340.00","4,039"
2021,0964040B,STREET CLEANING,24,"$525,300.00","8,755"
2021,0964040B,STREET CLEANING,25,"$593,340.00","9,889"
2021,0964040B,STREET CLEANING,26,"$656,100.00","10,935"
2021,0964040B,STREET CLEANING,27,"$442,740.00","7,379"
2021,0964040B,STREET CLEANING,28,"$440,940.00","7,349"
2021,0964040B,STREET CLEANING,29,"$411,360.00","6,856"
2021,0964040B,STREET CLEANING,30,"$422,400.00","7,040"
2021,0964040B,STREET CLEANING,31,"$465,300.00","7,755"
2021,0964040B,STREET CLEANING,32,"$466,080.00","7,768"
2021,0964040B,STREET CLEANING,33,"$433,680.00","7,228"
2021,0964040B,STREET CLEANING,34,"$193,500.00","3,225"
2021,0964040B,STREET CLEANING,35,"$549,420.00","9,157"
2021,0964040B,STREET CLEANING,36,"$346,860.00","5,781"
2021,0964040B,STREET CLEANING,37,"$401,340.00","6,689"
2021,0964040B,STREET CLEANING,38,"$222,780.00","3,713"
2021,0964040B,STREET CLEANING,39,"$261,480.00","4,358"
2021,0964040B,STREET CLEANING,40,"$311,220.00","5,187"
2021,0964040B,STREET CLEANING,41,"$117,900.00","1,965"
2021,0964040B,STREET CLEANING,42,"$270,660.00","4,511"
2021,0964040B,STREET CLEANING,43,"$543,840.00","9,064"
2021,0964040B,STREET CLEANING,44,"$622,380.00","10,373"
2021,0964040B,STREET CLEANING,45,"$210,720.00","3,512"
2021,0964040B,STREET CLEANING,46,"$458,400.00","7,640"
2021,0964040B,STREET CLEANING,47,"$410,340.00","6,839"
2021,0964040B,STREET CLEANING,48,"$382,980.00","6,383"
2021,0964040B,STREET CLEANING,49,"$438,180.00","7,303"
2021,0964040B,STREET CLEANING,50,"$377,160.00","6,286"
